 energy shell parameters
             Nshells                80
              kstart      63.770000000
                kend    1660.000000000
                  Np                40
 isotropic coordinates
    i    j                 x                 y                 z
    2   16  -0.514649332E+02   0.514649332E+02   0.418879020E+02
    2   17  -0.370038546E+02   0.626737061E+02  -0.418879020E+02
    2   18   0.117633980E+02   0.718254910E+02  -0.418879020E+02
    2   19   0.128741294E+02  -0.716347366E+02  -0.418879020E+02
    2   20   0.473338768E+02  -0.552881796E+02  -0.418879020E+02
    2   21   0.514649332E+02  -0.514649332E+02  -0.418879020E+02
    2   22   0.514649332E+02  -0.514649332E+02   0.418879020E+02
    2   23   0.126876530E+02  -0.716679995E+02   0.418879020E+02
    2   24   0.115604826E+02  -0.718584298E+02   0.418879020E+02
    2   25   0.631543481E+02   0.361774379E+02   0.418879020E+02
    2   26   0.999359075E+01   0.720930429E+02   0.418879020E+02
    2   27   0.100513465E+02   0.720850132E+02  -0.418879020E+02
    2   28   0.107111051E+02   0.719899363E+02  -0.418879020E+02
    2   29   0.714989469E+02   0.136080596E+02  -0.418879020E+02
    2   30   0.643450059E+02  -0.340146867E+02  -0.418879020E+02
    2   31   0.397444052E+02  -0.609726246E+02  -0.418879020E+02
    2   32   0.514557050E+02  -0.514741597E+02   0.418879020E+02
    2   33   0.547888162E+02  -0.479110041E+02   0.418879020E+02
    2   34   0.537672333E+02   0.490546972E+02   0.418879020E+02
    2   35   0.355720256E+02   0.634973204E+02   0.418879020E+02
    2   36   0.487996138E+02   0.539988554E+02  -0.418879020E+02
    2   37   0.514649332E+02  -0.514649332E+02  -0.418879020E+02
    2   38   0.727025376E+02   0.340877083E+01   0.418879020E+02
    2   39   0.514649332E+02   0.514649332E+02  -0.418879020E+02
    2   40  -0.727568748E+02   0.192765851E+01   0.418879020E+02
    2   41  -0.726360258E+02   0.461372481E+01   0.418879020E+02
    2   42  -0.695373910E+02   0.214902293E+02   0.418879020E+02
    2   43  -0.699487054E+02   0.201111240E+02  -0.418879020E+02
    2   44  -0.710353178E+02  -0.158512563E+02  -0.418879020E+02
    2   45  -0.717106156E+02  -0.124445289E+02  -0.418879020E+02
    2   46  -0.631960838E+02  -0.361044829E+02   0.418879020E+02
    2   47  -0.349383955E+02  -0.638481575E+02   0.418879020E+02
    2   48  -0.695133290E+02   0.215679341E+02   0.418879020E+02
    2   49  -0.331395038E+02   0.648000925E+02   0.418879020E+02
    2   50  -0.330999958E+02   0.648202821E+02   0.418879020E+02
    2   51  -0.337382767E+02   0.644903666E+02  -0.418879020E+02
    2   52  -0.348105449E+02   0.639179526E+02  -0.418879020E+02
    2   53  -0.359072304E+02  -0.633083683E+02  -0.418879020E+02
    2   54  -0.366094366E+02  -0.629049112E+02  -0.418879020E+02
    2   55  -0.514649332E+02  -0.514649332E+02  -0.418879020E+02
    2   56  -0.370038546E+02  -0.626737061E+02   0.418879020E+02
    2   57   0.117633980E+02  -0.718254910E+02   0.418879020E+02
    2   58   0.128741294E+02   0.716347366E+02   0.418879020E+02
    2   59   0.473338768E+02   0.552881796E+02   0.418879020E+02
    2   60   0.514649332E+02   0.514649332E+02   0.418879020E+02
    2   61   0.514649332E+02   0.514649332E+02  -0.418879020E+02
    2   62   0.126876530E+02   0.716679995E+02  -0.418879020E+02
    2   63   0.115604826E+02   0.718584298E+02  -0.418879020E+02
    2   64   0.631543481E+02  -0.361774379E+02  -0.418879020E+02
    2   65   0.999359075E+01  -0.720930429E+02  -0.418879020E+02
    2   66   0.100513465E+02  -0.720850132E+02   0.418879020E+02
    2   67   0.107111051E+02  -0.719899363E+02   0.418879020E+02
    2   68   0.714989469E+02  -0.136080596E+02   0.418879020E+02
    2   69   0.643450059E+02   0.340146867E+02   0.418879020E+02
    2   70   0.397444052E+02   0.609726246E+02   0.418879020E+02
    2   71   0.514557050E+02   0.514741597E+02  -0.418879020E+02
    2   72   0.547888162E+02   0.479110041E+02  -0.418879020E+02
    2   73   0.537672333E+02  -0.490546972E+02  -0.418879020E+02
    2   74   0.355720256E+02  -0.634973204E+02  -0.418879020E+02
    2   75   0.487996138E+02  -0.539988554E+02   0.418879020E+02
    2   76   0.514649332E+02   0.514649332E+02   0.418879020E+02
    2   77   0.727025376E+02  -0.340877083E+01  -0.418879020E+02
    2   78   0.514649332E+02  -0.514649332E+02   0.418879020E+02
    3    1  -0.786291850E+02  -0.540047401E+02  -0.418879020E+02
    3    2  -0.889900467E+02  -0.343486867E+02  -0.418879020E+02
    3    3  -0.619207635E+02  -0.104437363E+01  -0.837758041E+02
    3    4  -0.733810855E+01  -0.614932828E+02  -0.837758041E+02
    3    5  -0.692640398E+01  -0.951371936E+02  -0.418879020E+02
    3    6  -0.475465208E+02  -0.826945527E+02  -0.418879020E+02
    3    7  -0.885783421E+02  -0.353968642E+02  -0.418879020E+02
    3    8  -0.939220600E+02   0.166645530E+02   0.418879020E+02
    3    9  -0.830890461E+02   0.468537202E+02  -0.418879020E+02
